Date,Return
08/19/2014,0.00807
08/18/2014,0.01514
08/15/2014,-0.00204
08/14/2014,-0.00023
08/13/2014,0.02141
08/12/2014,-0.00907
08/11/2014,-0.00156
08/08/2014,0.00960
08/07/2014,-0.00532
08/06/2014,0.00231
08/05/2014,-0.01410
08/04/2014,0.01251
08/01/2014,-0.00967
07/31/2014,-0.02693
07/30/2014,0.00309
07/29/2014,-0.00845
07/28/2014,0.00268
07/25/2014,-0.00730
07/24/2014,-0.00441
07/23/2014,0.00208
07/22/2014,0.00894
07/21/2014,-0.00943
07/18/2014,0.03721
07/17/2014,-0.01533
07/16/2014,-0.00363
07/15/2014,-0.00015
07/14/2014,0.00982
07/11/2014,0.01415
07/10/2014,-0.00864
07/09/2014,0.00874
07/08/2014,-0.01917
07/07/2014,-0.00424
07/03/2014,0.00411
07/02/2014,-0.00057
07/01/2014,0.01285
06/30/2014,-0.00340
06/27/2014,0.00215
06/26/2014,-0.00458
06/25/2014,0.02485
06/24/2014,-0.00058
06/23/2014,0.01544
06/20/2014,0.00263
06/19/2014,0.00276
06/18/2014,0.01908
06/17/2014,-0.00233
06/16/2014,-0.01356
06/13/2014,0.00074
06/12/2014,-0.01340
06/11/2014,-0.00305
06/10/2014,-0.00279
06/09/2014,0.01041
06/06/2014,0.00439
06/05/2014,0.01696
06/04/2014,-0.00051
06/03/2014,-0.01623
06/02/2014,-0.01065
05/30/2014,-0.00034
05/29/2014,-0.00285
05/28/2014,-0.00754
05/27/2014,0.02397
05/23/2014,0.01402
05/22/2014,0.01136
05/21/2014,0.01731
05/20/2014,0.00172
05/19/2014,0.01581
05/16/2014,0.00125
05/15/2014,-0.01267
05/14/2014,-0.01208
05/13/2014,0.00598
05/12/2014,0.02157
05/09/2014,0.01513
05/08/2014,0.00204
05/07/2014,-0.01006
05/06/2014,-0.02400
05/05/2014,-0.00023
05/02/2014,-0.00644
05/01/2014,0.00891
04/30/2014,-0.00197
04/29/2014,0.02040
04/28/2014,0.00188
04/25/2014,-0.01710
04/24/2014,-0.00338
04/23/2014,-0.01472
04/22/2014,0.01171
04/21/2014,-0.01395
04/17/2014,-0.03673
04/16/2014,0.03747
04/15/2014,0.00736
04/14/2014,0.00362
04/11/2014,-0.01913
04/10/2014,-0.04111
04/09/2014,0.01665
04/08/2014,0.03113
04/07/2014,-0.00919
04/04/2014,-0.04669
04/03/2014,0.00483
04/02/2014,-0.00028
04/01/2014,0.01830
03/31/2014,-0.00539
03/28/2014,0.00274
03/27/2014,-0.01231
03/26/2014,-0.02309
03/25/2014,0.00068
03/24/2014,-0.02122
03/21/2014,-0.01179
03/20/2014,-0.00174
03/19/2014,-0.00992
03/18/2014,0.01607
03/17/2014,0.01646
03/14/2014,-0.01367
03/13/2014,-0.01511
03/12/2014,0.00609
03/11/2014,-0.00956
03/10/2014,-0.00265
03/07/2014,-0.00395
03/06/2014,0.00111
03/05/2014,0.00276
03/04/2014,0.01016
03/03/2014,-0.01066
02/28/2014,-0.00292
02/27/2014,-0.00079
02/26/2014,0.00014
02/25/2014,0.00618
02/24/2014,0.00724
02/21/2014,-0.00027
02/20/2014,0.00147
02/19/2014,-0.00705
02/18/2014,0.00672
02/14/2014,0.00242
02/13/2014,0.01113
02/12/2014,-0.00293
02/11/2014,0.01471
02/10/2014,-0.00383
02/07/2014,0.01507
02/06/2014,0.01466
02/05/2014,0.00443
02/04/2014,0.00417
02/03/2014,-0.04026
01/31/2014,0.04014
01/30/2014,0.02572
01/29/2014,-0.01433
01/28/2014,0.01978
01/27/2014,-0.02011
01/24/2014,-0.03126
01/23/2014,-0.00422
01/22/2014,0.00113
01/21/2014,0.01145
01/17/2014,-0.00492
01/16/2014,0.00662
01/15/2014,-0.00068
01/14/2014,0.02353
01/13/2014,-0.00637
01/10/2014,-0.00005
01/09/2014,-0.00963
01/08/2014,0.00208
01/07/2014,0.01928
01/06/2014,0.01115
01/03/2014,-0.00729
01/02/2014,-0.00677
